YR elected,CD,Any Congregation,No Congregation,Evangel. Prot Congregation,Roman Catholic,Mainline Prot,Other
2018,MN06,49.45,50.55,13.824,23.656,11.265,0.705
2018,MN07,69.426,30.574,18.62,19.887,30.426,0.493
2018,MN08,48.061,51.939,12.174,17.407,17.384,1.097
2018,MO01,49.311,50.689,13.833,19.78,6.613,9.085
2018,MO02,50.782,49.218,17.096,22.652,7.073,3.961
2018,MO03,47.674,52.326,21.37,18.134,6.831,1.339
2018,MO04,45.089,54.911,29.274,5.023,8.412,2.379
2018,MO05,52.422,47.578,24.19,9.716,9.395,9.12
2018,MO06,51.246,48.754,27.507,8.673,11.777,3.289
2018,MO07,50.747,49.253,37.071,4.848,6.902,1.927
2018,MO08,46.906,53.094,32.545,7.928,4.742,1.69
2018,MS01,60.307,39.693,43.731,1.836,8.557,6.183
2018,MS02,59.414,40.586,35.224,2.496,9.303,12.391
2018,MS03,61.452,38.548,43.843,2.468,8.152,6.988
2018,MS04,53.776,46.224,34.711,8.363,6.896,3.806
2018,MT00,38.101,61.899,12.236,12.898,7.769,5.198
2018,NC01,42.241,57.759,25.748,2.234,9.603,4.656
2018,NC02,41.707,58.293,22.854,5.751,9.065,4.037
2018,NC03,40.579,59.421,21.945,3.407,10.585,4.643
2018,NC04,45.804,54.196,17.271,10.562,11.807,6.164
2018,NC05,52.105,47.895,33.401,2.8,13.215,2.689
2018,NC06,42.327,57.673,23.033,2.478,12.907,3.909
2018,NC07,43.244,56.756,24.609,4.32,9.511,4.804
2018,NC08,48.806,51.194,28.968,3.405,12.644,3.789
2018,NC09,48.431,51.569,28.192,5.442,11.34,3.457
2018,NC10,58.585,41.415,39.435,2.742,13.087,3.322
2018,NC11,55.034,44.966,40.928,2.893,9.696,1.518
2018,NC12,51.909,48.091,22.214,8.557,15.087,6.051
2018,NC13,46.866,53.134,23.896,3.877,15.544,3.549
2018,ND00,67.122,32.878,11.687,24.881,29.266,1.288
2018,NE01,53.652,46.348,15.828,19.392,16.436,1.996
2018,NE02,51.464,48.536,12.515,23.591,9.441,5.917
2018,NE03,61.862,38.138,19.123,18.261,22.994,1.484
2018,NH01,35.869,64.131,3.364,24.919,5.9,1.686
2018,NH02,34.436,65.564,3.796,22.333,6.423,1.885
2018,NJ01,51.728,48.272,5.96,32.235,7.064,6.469
2018,NJ02,42.717,57.283,6.629,23.313,6.774,6.001
2018,NJ03,44.213,55.787,4.109,27.05,5.814,7.24
2018,NJ04,53.68,46.32,2.837,36.879,5.928,8.036
2018,NJ05,59.869,40.131,3.587,43.755,5.701,6.827
2018,NJ06,56.52,43.48,3.289,40.341,4.886,8.004
2018,NJ07,55.204,44.796,4.503,37.3,7.979,5.423
2018,NJ08,59.49,40.51,3.85,42.284,3.568,9.789
2018,NJ09,61.107,38.893,3.817,43.834,4.039,9.417
2018,NJ10,59.024,40.976,4.373,38.442,4.805,11.404
2018,NJ11,57.811,42.189,4.679,39.138,5.61,8.385
2018,NJ12,55.076,44.924,4.283,36.996,6.459,7.337
2018,NM01,47.003,52.997,12.075,26.73,3.644,4.554
2018,NM02,49.567,50.433,16.265,26.37,3.351,3.582
2018,NM03,53.666,46.334,12.062,32.122,3.367,6.115
2018,NV01,35.761,64.239,7.724,18.148,1.387,8.503
2018,NV02,30.22,69.78,8.446,12.881,2.009,6.883
2018,NV03,35.761,64.239,7.724,18.148,1.387,8.503
2018,NV04,35.705,64.295,7.683,17.635,1.372,9.015
2018,NY01,72.108,27.892,3.945,58.892,4.634,4.638
2018,NY02,70.845,29.155,3.7,56.776,4.409,5.96
2018,NY03,65.827,34.173,3.44,49.959,3.772,8.656
2018,NY04,67.129,32.871,2.98,50.551,3.746,9.851
2018,NY05,51.441,48.559,3.703,32.67,2.311,12.756
2018,NY06,49.424,50.576,3.796,30.372,2.126,13.13
2018,NY07,50.194,49.806,4.864,25.17,3.503,16.657
2018,NY08,51.437,48.563,5.151,25.262,3.327,17.697
2018,NY09,51.577,48.423,5.245,24.905,3.411,18.016
2018,NY10,47.163,52.837,4.62,22.266,4.687,15.589
2018,NY11,60.636,39.364,3.945,44.081,2.86,9.75
2018,NY12,45.577,54.423,4.211,22.409,4.838,14.12
2018,NY13,42.305,57.695,4.207,21.709,4.682,11.707
2018,NY14,45.433,54.567,3.963,28.753,2.106,10.612
2018,NY15,37.398,62.602,4.298,25.492,2.066,5.542
2018,NY16,55.173,44.827,3.469,39.006,3.967,8.731
2018,NY17,66.223,33.777,4.123,41.206,3.887,17.008
